# Copyright: German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE)
# A project by: German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE), African Centre for Technology Studies (ACTS), Stockholm Environment Institute (SEI)
# Funded by the German Federal Ministry for Economic Cooperation and Development (BMZ)
# Additional financial contributions by the Swedish International Development Cooperation Agency (SIDA) and the Swedish Research Council Formas
# Issued 2022
# Last updated 2022-02-04
# Rights: CC BY 4.0 https://creativecommons.org/licenses/by/4.0/
# Citation: Pauw, Pieter / Beck, Tanja / Valverde, María José et al. (2022): NDC Explorer. German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE), African Centre for Technology Studies (ACTS), Stockholm Environment Institute (SEI), Frankfurt School - UNEP Collaborating Centre for Climate & Sustainable Energy Finance. DOI: 10.23661/ndc_explorer_2022_4.0
# Contact: klimalog@die-gdi.de
country_name,country_code,type_of_target_class,type_of_target_details,temp_target_class,temp_target_details,costs_of_ccm_class,costs_of_ccm_details,renewable_energy_class,renewable_energy_details,energy_efficiency_class,energy_efficiency_details,transport_class,transport_details,carbon_capture_and_storage_class,carbon_capture_and_storage_details,agriculture_class,agriculture_details,land_use_and_forestry_class,land_use_and_forestry_details,waste_class,waste_details,reducing_non_co2_gases_class,reducing_non_co2_gases_details,fossil_fuel_production_class,fossil_fuel_production_details,fossil_fuel_subsidiaries_class,fossil_fuel_subsidiaries_details,land_use_change_class,land_use_change_details,redd_class,redd_details,trade_class,trade_details,market_mechanisms_class,market_mechanisms_details,mitigation_documents_class,mitigation_documents_details,co_benefits_ccm_class,co_benefits_ccm_details,migration_and_displacement_class,migration_and_displacement_details,vulnerability_agriculture_class,vulnerability_agriculture_details,vulnerability_water_class,vulnerability_water_details,vulnerability_ecosystems_class,vulnerability_ecosystems_details,vulnerability_health_class,vulnerability_health_details,vulnerability_coastal_zones_class,vulnerability_coastal_zones_details,costs_of_recent_climate_related_hazards_class,costs_of_recent_climate_related_hazards_details,costs_of_future_climate_related_hazards_class,costs_of_future_climate_related_hazards_details,climate_risks_extreme_weather_class,climate_risks_extreme_weather_details,climate_risks_floods_class,climate_risks_floods_details,climate_risks_droughts_class,climate_risks_droughts_details,climate_risks_temp_increase_class,climate_risks_temp_increase_details,climate_risks_sea_level_rise_class,climate_risks_sea_level_rise_details,priority_sectors_water_class,priority_sectors_water_details,priority_sectors_agriculture_class,priority_sectors_agriculture_details,priority_sectors_health_class,priority_sectors_health_details,priority_sectors_ecosystems_class,priority_sectors_ecosystems_details,priority_sectors_forestry_class,priority_sectors_forestry_details,quantified_adaptation_targets_class,quantified_adaptation_targets_details,costs_of_adaptation_class,costs_of_adaptation_details,adaptation_documents_class,adaptation_documents_details,co_benefits_of_adaptation_class,co_benefits_of_adaptation_details,conditionality_of_adaptation_finance_class,conditionality_of_adaptation_finance_details,conditionality_of_mitigation_finance_class,conditionality_of_mitigation_finance_details,technology_needs_class,technology_needs_details,conditionality_of_technology_transfer_class,conditionality_of_technology_transfer_details,conditionality_of_capacity_building_class,conditionality_of_capacity_building_details,means_of_implementation_and_fairness_class,means_of_implementation_and_fairness_details,climate_risk_insurance_class,climate_risk_insurance_details,planning_of_indc_formulation_class,planning_of_indc_formulation_details,stakeholder_consultation_class,stakeholder_consultation_details,education_class,education_details,aw_rais_class,aw_rais_details,training_class,training_details,info_access_class,info_access_details,planning_of_indc_implementation_class,planning_of_indc_implementation_details,monitoring_and_review_class,monitoring_and_review_details,sustainable_development_goals_class,sustainable_development_goals_details,sustainable_development_class,sustainable_development_details,fossil_fuel_subsidy_reform_class,fossil_fuel_subsidy_reform_details,green_economy_class,green_economy_details,disaster_risk_reduction_class,disaster_risk_reduction_details,section_on_fairness_class,section_on_fairness_details,historical_responsibility_class,historical_responsibility_details,loss_and_damage_class,loss_and_damage_details,gender_class,gender_details,human_rights_class,human_rights_details,article2_1_class,article2_1_details,financial_policies_regulations_class,financial_policies_regulations_details,fiscal_policy_class,fiscal_policy_details,public_finance_class,public_finance_details,information_instruments_class,information_instruments_details,private_sector_investments_class,private_sector_investments_details,base_year_class,base_year_details,slow_onset_others_class,slow_onset_others_details,income_class,income_details,region_id,region_name,g20_class,g20_details,
Comoros,COM,4,"Reduction/limitation compared to business as usual (multiple scenarios)",1,"Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C",2,"0-1 billion US$ until 2030",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",2,"Considered (CO2,CH4, N20, HFCs)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"International market mechanisms not mentioned",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",1,"No losses indicated",2,"Future losses indicated",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",2,"0-1 billion US$ until 2030",-1,"no data",-1,"no data",4,"Adaptation finance fully conditional to contribution",4,"Mitigation finance fully conditional to contribution
",-1,"no data",3,"Technology transfer (partly) conditional to INDC implementation",3,"Capacity building (partly) conditional to INDC implementation",1,"No fairness/equity section",1,"Not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",2,"Public finance mentioned",1,"Not mentioned",2,"Private sector investments mentioned",2,"Mentioned (2030)",0,"(I)NDC not submitted or not yet included in analysis",0,"Low income",6,"Sub-Saharan Africa",0,"not G20",
Congo,COG,4,"Reduction/limitation compared to business as usual (53.65% emissions reduction until 2030)",4,"(I)NDC claims to be consistent with 2°C limit",3,"1-5 billion US$ until 2030",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",4,"Use/intention to use international market mechanisms",-1,"no data",-1,"no data",3,"human mobility mentioned as adaptation strategy",2,"Sector identified as vulnerable",2,"Sector identified as vulnerable",1,"Sector not mentioned",2,"Sector identified as vulnerable",2,"Sector identified as vulnerable",1,"No losses indicated",1,"No future losses indicated",2,"Extreme weather mentioned (incl. storm)",2,"Floods mentioned",2,"Droughts mentioned",2,"Temperature increase mentioned  as risk",2,"Sea level rise mentioned  as risk",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",1,"Sector not mentioned",2,"Sector mentioned",-1,"no data",3,"1-5 billion US$ until 2030",-1,"no data",-1,"no data",3,"Adaptation finance partly conditional to contribution",2,"Mitigation finance mentioned",-1,"no data",2,"Technology transfer mentioned",2,"Capacity building mentioned",2,"MoI not mentioned in fairness/equity section",2,"Existing insurance mechanisms (Agriculture)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",2,"Public finance mentioned",1,"Not mentioned",2,"Private sector investments mentioned",2,"Mentioned (2017)",2,"Other slow onset processes mentioned (salinisation)",0,"Low income",6,"Sub-Saharan Africa",0,"not G20",
"Cook Islands",COK,0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",3,"High income",0,"East Asia & Pacific",0,"not G20",
"Costa Rica",CRI,6,"Absolute target: to reduce 106.53 million tons of carbon dioxide equivalent (CO2e) from 2021 to 2030",3,"Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C)",1,"(Partial) costs not indicated",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",4,"Use/intention to use international market mechanisms",-1,"no data",-1,"no data",1,"not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",2,"Economic losses mentioned",1,"No future losses indicated",2,"Extreme weather mentioned (storms, heavy rain)",2,"Floods mentioned",2,"Droughts mentioned",2,"Temperature increase mentioned ",1,"not mentioned",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",1,"Sector not mentioned",-1,"no data",1,"(Partial) costs not indicated",-1,"no data",-1,"no data",2,"Adaptation finance mentioned",2,"Mitigation finance mentioned",-1,"no data",3,"Technology transfer (partly) conditional to INDC implementation",3,"Capacity building (partly) conditional to INDC implementation",2,"MoI not mentioned in fairness/equity section",2,"Existing insurance mechanisms",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",3,"Financial policies and regulations specified",3,"Fiscal policy levers specified",2,"Public finance mentioned",1,"Not mentioned",2,"Private sector investments mentioned",1,"Not indicated",1,"not mentioned",2,"Upper middle income",2,"Latin America & Caribbean",0,"not G20",
"Cote dIvoire",CIV,0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",1,"Lower middle income",6,"Sub-Saharan Africa",0,"not G20",
Cuba,CUB,2,"Policies and actions",1,"Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C",4,"5-10 billion US$ until 2030",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",2,"Considered (CH4, N20)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",4,"Use/intention to use international market mechanisms",-1,"no data",-1,"no data",3,"human mobility mentioned as adaptation strategy",1,"Sector not mentioned",2,"Sector identified as vulnerable",1,"Sector not mentioned",1,"Sector not mentioned",2,"Sector identified as vulnerable",1,"No losses indicated",1,"No future losses indicated",2,"Extreme weather mentioned (storms)",2,"Floods mentioned",2,"Droughts mentioned",2,"Temperature increase mentioned as risk",2,"Sea level rise mentioned  as risk",2,"Sector mentioned",2,"Sector mentioned",1,"Sector not mentioned",2,"Sector mentioned",2,"Sector mentioned",-1,"no data",1,"(Partial) costs not indicated",-1,"no data",-1,"no data",3,"Adaptation finance partly conditional to contribution",3,"Mitigation finance partly conditional to contribution",-1,"no data",3,"Technology transfer (partly) conditional to INDC implementation",3,"Capacity building (partly) conditional to INDC implementation",1,"No fairness/equity section",1,"Not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",3,"Public finance specified",1,"Not mentioned",1,"Not mentioned",2,"Mentioned (2014)",2,"Other slow onset processes mentioned (salinisation)",2,"Upper middle income",2,"Latin America & Caribbean",0,"not G20",
"Democratic Republic of Congo",COD,4,"Reduction/limitation compared to business as usual (21% emissions reduction until 2030  of which 19% is conditional and 2% is unconditional)",2,"Mentioning global effort to limit global temperature increase to 2°C",6,">20 billion US$ until 2030",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",2,"Considered (CH4, N2O)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",5,"Use of international market mechanisms to meet part of (I)NDC target",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",1,"No losses indicated",2,"Future losses indicated",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",6,">20 billion US$ until 2030",-1,"no data",-1,"no data",3,"Adaptation finance partly conditional to contribution",3,"Mitigation finance partly conditional to contribution",-1,"no data",3,"Technology transfer (partly) conditional to INDC implementation",3,"Capacity building (partly) conditional to INDC implementation",1,"No fairness/equity section",1,"Not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",3,"Financial policies and regulations specified",2,"Fiscal policy levers mentioned",2,"Public finance mentioned",1,"Not mentioned",2,"Private sector investments mentioned",1,"Not indicated",0,"(I)NDC not submitted or not yet included in analysis",1,"Lower middle income",6,"Sub-Saharan Africa",0,"not G20",
Djibouti,DJI,0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",1,"Lower middle income",3,"Middle East & North Africa",0,"not G20",
Dominica,DMA,0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",0,"(I)NDC not submitted or not yet included in analysis",2,"Upper middle income",2,"Latin America & Caribbean",0,"not G20",
"Dominican Republic",DOM,4,"Reduction/limitation compared to business as usual (27% emissions reduction by 2030; 20% conditional and 7% unconditional)",2,"Mentioning global effort to limit global temperature increase to 2°C",4,"5-10 billion US$ until 2030",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",3,"International market mechanisms explicitly excluded",-1,"no data",-1,"no data",3,"human mobility mentioned as adaptation strategy",2,"Sector identified as vulnerable",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",2,"Sector identified as vulnerable",2,"Economic losses mentioned",1,"No future losses indicated",2,"Extreme weather mentioned (incl. heat waves)",2,"Floods mentioned",2,"Droughts mentioned",1,"not mentioned",1,"not mentioned",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",3,"Elaborated on actions/plans/strategies",2,"Sector mentioned",3,"Elaborated on actions/plans/strategies",-1,"no data",4,"5-10 billion US$ until 2030",-1,"no data",-1,"no data",3,"Adaptation finance partly conditional to contribution",3,"Mitigation finance partly conditional to contribution",-1,"no data",3,"Technology transfer (partly) conditional to INDC implementation",3,"Capacity building (partly) conditional to INDC implementation",2,"MoI not mentioned in fairness/equity section",2,"Existing insurance mechanisms (Livestock, Settlements, Forestry, Agriculture, Infrastructure Water)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",3,"Financial policies and regulations specified",3,"Fiscal policy levers specified",3,"Public finance specified",3,"Information instruments specified",2,"Private sector investments mentioned",2,"Mentioned (2010)",1,"not mentioned",2,"Upper middle income",2,"Latin America & Caribbean",0,"not G20",
"Democratic People's Republic of Korea",PRK,6,"Absolute target (reduce GHG emissions by 35,800,000 tons (16.4%) by 2030, conditional target: 78,800,000 tons)",1,"Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C",6,">20 billion US$ until 2030 (conditional part only)",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not indicated
",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"International market mechanisms not mentioned",-1,"no data",-1,"no data",1,"not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"No losses indicated",1,"No future losses indicated",1,"not mentioned",1,"not mentioned",1,"not mentioned",1,"not mentioned",1,"not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",1,"Sector not mentioned",-1,"no data",1,"(Partial) costs not indicated",-1,"no data",-1,"no data",1,"Adaptation finance not mentioned",3,"Mitigation finance partly conditional to contribution",-1,"no data",1,"Technology transfer not mentioned",1,"Capacity building not mentioned",1,"No fairness/equity section",1,"Not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Subsidy reform not mentioned",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",-1,"no data",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",1,"Not mentioned",1,"Not indicated",1,"not mentioned",0,"Low income",0,"East Asia & Pacific",0,"not G20",
